"A close-to-home solution for accessible childcare | Chris Bennett","TED Talks","Childcare needs a transformation -- but rather than investing billions in new buildings and schools, what if we could unlock the potential of people already nearby? Entrepreneur Chris Bennett offers an innovative way to tackle the shortage of childcare worldwide and connect families to safe, affordable and high-quality options in their own communities.","2021-10-21 14:39:01","Culture","https://www.ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","c9ccbe591727626c7173355db10e5945"
"How much clean electricity do we really need? | Solomon Goldstein-Rose","TED Talks","To fight climate change, we need to clean up the global electricity system by replacing fossil fuel power plants with clean generation -- right? Climate author Solomon Goldstein-Rose thinks we need to do much more than that. Replacement isn't enough, he explains in this compelling talk: we need to rapidly develop a new global system capable of producing 12 times the amount of clean electricity we generate today. He shares four reasons why we need that expansion -- first, to electrify everything ","2021-10-20 15:11:14","Culture","https://www.ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","d4dc315e4a892145e8c7d2d634b16ac8"
"How we could eat real meat without harming animals | Isha Datar","TED Talks","What if you could eat chicken nuggets without harming a chicken? It's possible through cellular agriculture, says Isha Datar. In a talk about cutting-edge science, she explains how this new means of food production makes it possible to eat meat without the negative consequences of industrial farming -- and how it could fundamentally change our food systems for the better. It's our once-in-a-lifetime opportunity to get a second chance at agriculture, she says.","2021-10-19 14:41:31","Culture","https://www.ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","d391361dc73b8441b8b538bab3b14c4f"
"The global treaty to phase out fossil fuels | Tzeporah Berman","TED Talks","We currently have enough fossil fuels to progressively transition off of them, says climate campaigner Tzeporah Berman, but the industry continues to expand oil, gas and coal production and exploration. With searing passion and unflinching nerve, Berman reveals the delusions keeping true progress from being made -- and offers a realistic path forward: the Fossil Fuel Non-Proliferation Treaty. Learn more about the global initiative for transparency and accountability in phasing out fossil fuels f","2021-10-15 14:46:50","Culture","https://www.ted.com/talks/tzeporah_berman_the_global_treaty_to_phase_out_fossil_fuels?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","e1ab46ccd8b642c7d983ec369f6749ca"
"The first step towards more inclusive dermatology | Jenna C. Lester","TED Talks","Skin is one of the most powerful predictors of health, yet nearly half of all new dermatologists admit to feeling uncomfortable identifying health issues on darker skin tones -- resulting in poorer health outcomes for patients of color. In this crucial talk, TED Fellow and dermatologist Jenna C. Lester shares her effort to extend medical training beyond its current limited scope and ensure all medical students get trained in the full spectrum of diseases as they appear in all patients, regardles","2021-10-14 14:49:05","Culture","https://www.ted.com/talks/jenna_c_lester_the_first_step_towards_more_inclusive_dermatology?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","38ad690b3aa3267b762d8785e2d798eb"
"What you discover when you really listen | Hrishikesh Hirway","TED Talks","Every conversation has the potential to open up and reveal all the layers and layers within it, all those rooms within rooms, says podcaster and musician Hrishikesh Hirway. In this profoundly moving talk, he offers a guide to deep conversations and explores what you learn when you stop to listen closely. Stay tuned to the end to hear a performance of his original song Between There and Here (feat. Yo-Yo Ma).","2021-10-13 14:46:06","Culture","https://www.ted.com/talks/hrishikesh_hirway_what_you_discover_when_you_really_listen?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","c7c1a970f875ebd8da8e106a63e062c5"
"The billion-dollar campaign to electrify transport | Monica Araya","TED Talks","The roadmap to ending pollution from transportation is here, says electrification advocate Monica Araya. In conversation with head of TED Chris Anderson, Araya introduces Drive Electric: a global campaign to retire the polluting internal combustion engine in time to avoid climate disaster. And she shares some exciting news: a breakthrough funding commitment from the Audacious Project that puts the project well on its way to realizing a billion-dollar plan to supercharge the transition to electri","2021-10-13 13:57:42","Culture","https://www.ted.com/talks/monica_araya_the_billion_dollar_campaign_to_electrify_transport?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","289a0c5d61aa94ac989604a37a79dc94"
"A roadmap for young changemakers | Melati Wijsen","TED Talks","Activism is a tough job, especially for young people yearning for immediate change -- something climate activist Melati Wijsen has learned over ten years of pushing for environmental protection, starting at age 12 in her home on the island of Bali, Indonesia. How can young changemakers acquire the skills they need and keep from burning out? Wijsen offers three pieces of advice for anybody seeking to make lasting, sustainable progress.","2021-10-12 17:51:33","Culture","https://www.ted.com/talks/melati_wijsen_a_roadmap_for_young_changemakers?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","8d69f30a7ca11471186aa4a18c0b0ed6"
"5 tips for dealing with meeting overload | Cindy Solomon","TED Talks","Could this meeting have been an email? The phenomenon of calendar creep, where meetings completely take over your work days, is wasting time, energy and productivity -- but you can take back control. Leadership expert Cindy Solomon shares her five tips for clearing up your schedule and getting your calendar to work for you, not against you.","2021-10-11 14:40:24","Culture","https://www.ted.com/talks/cindy_solomon_5_tips_for_dealing_with_meeting_overload?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","6cc7de3d9a731226337086cb3ce29b16"
"How humanity doubled life expectancy in a century | Steven Johnson","TED Talks","Doubling human life expectancy in a century is our greatest achievement, says author Steven Johnson. How did we make it happen -- and can we keep it going? Backed by fascinating historical anecdotes, he shares some life-lengthening innovations and reminds us of three key things needed to make sure all of humanity enjoys these advancements in health.","2021-10-08 14:53:42","Culture","https://www.ted.com/talks/steven_johnson_how_humanity_doubled_life_expectancy_in_a_century?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","7a9b25d42623e5e50165c7ba02127c16"
